1,Mtro. José Luis Gallegos Ramírez,Director de Estudios Profesionales
2,Dr. José Antonio Vázquez Ibarra,DPA de Ingeniería Industrial
3,Mtro. Leonardo Correa Zúñiga,DPA de Ingeniería Mecánica Automotriz
4,Mtro. Luis Ernesto Anaya Tiscareño,DPA de Ingeniería en Sistemas Estratégicos de Información
5,Mtro. Enrique Martínez Perez,DPA de Ingeniería en Electrónica
6,Mtro. Beatriz Araiza Llaguno,DPA de Licenciatura en Negocios Internacionales
7,Mtro. Marco Antonio Álvarez Medina,DPA de Ingeniería Mecatrónica
8,Mtro. Juan Fernando Aguirre Sámano,DPA de Ingeniería en Energía
9,Dra. Susana Vázquez Vallin,DPA de Ingeniería en Aeronáutica
10,Mtro. Víctor Manuel Cuevas Herrada,Subdirector de Educación Superior 
11,Mtro. Manuel López Chávez,Oficina Técnica de las Comisiones para la Planeación de la Educación Media y Superior
12,Mtro. Carlos Chong Sánchez ,"Departamento de Fortalecimiento
Académico"
13,Dra. Araceli Alvarado Carrillo ,Enlace UTR REDINAGS/ Profesor de tiempo completo
14,Dra. Graciela Romero  Mercado ,Enlace UTA REDINAGS/ ]encargada de la Dirección de Gestión Académica e Internacionalización
15,Mtro. Ángel Zamora Acevedo,Enlace UTNA REDINAGS/ Secretario Académico
16,Dra. Fabiola Carolina Muñoz De La Cruz,Enlace UTNA REDINAGS/Jefe Investigación 
17,Mtra. Judith Cuéllar Esparza,Enlace UTC REDINAGS/ Directora Académica
18,Mtro. Jaime Damián García ,Enlace UTMA REDINAGS /  Coordinador Académico 
19,Mtro. Sergio Luna Flores,Director General
20,Dra. Ma. Antonieta Suloaga Garmendia ,Encargada de la Dirección de la Unidad
21,Dr. Edgar González Fernández ,Subgerente de docencia
22,Dr. Martín Ortíz Morales,Coordinador Unidad Aguascalientes
23,Dr. Carlos Aguirre Soto,Coordinador del CITTAA
24,Dr. Alejandro Madrazo Lajous,Director
25,Dr. José Ernesto Olvera González,Director
26,Mtro. Ernesto Lugo Ledezma,Director
27,Dr. Héctor Silos Espino,Profesor Investigador
28,Dr. José Alonso Dena Aguilar,Profesor Investigador
29,Mtro. Gerardo Israel Pedroza López,Director de FOCUS
30,Mtro. José Iván Orlando Rodríguez Martínez,Encargado de la Dirección de Desarrollo Académico
31,Mtro. Marco Antonio Vázquez Gutiérrez,Profesor Investigador
32,Dra. Ana Gabriela Gutierrez Mata,Profesor Investigador
33,Dr. Octavio Hernández Castorena,Profesor de Asignatura
34,Dra. Vanessa Campos Ibarra,Departamento de Becas
35,Dra. Edna Huerta Velasquez,Investigadora
36,Dr. José Trinidad Marín Aguilar,Investigador
37,Dra. Gabriela López Juárez,Investigadora
38,Dr. Javier Eduardo Vega Martínez,Investigador
39,Dr. Neftalí Parga Montoya,Investigador
40,Dr. Pedro Agustín Ojeda Escoto,Investigador
